mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_cleaning__numerical_fillna_strategy,param_cleaning__threshold,param_corr_filter__threshold,param_rfe__n_features_to_select,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
23.8504798412323,1.9811015758126098,0.30054774284362795,0.009612143694284429,mean,0.05,0.7,0.3,"{'cleaning__numerical_fillna_strategy': 'mean', 'cleaning__threshold': 0.05, 'corr_filter__threshold': 0.7, 'rfe__n_features_to_select': 0.3}",-991997335.599684,-1240707173.0355575,-1556200051.591858,-1273834233.94993,-859594343.614189,-1184466627.5582438,241628531.34246203,6,-688157358.0409809,-703520150.001712,-756863780.6418394,-721974759.3944767,-758970885.0653201,-725897386.6288658,28260259.511529073
14.481723308563232,2.0172063636026616,0.3178676128387451,0.005992861190859395,mean,0.05,0.7,0.7,"{'cleaning__numerical_fillna_strategy': 'mean', 'cleaning__threshold': 0.05, 'corr_filter__threshold': 0.7, 'rfe__n_features_to_select': 0.7}",-922190077.8526393,-951961865.307822,-2092121912.8861222,-1079319120.661261,-685085251.0394579,-1146135645.5494606,489852428.0821509,1,-528663894.90718186,-539284541.502273,-511985295.267047,-526562047.22639906,-591419747.8249537,-539583105.3455708,27340603.051779334
25.92510085105896,2.006519304037421,0.3040303707122803,0.016858200964981584,mean,0.05,0.7,10.0,"{'cleaning__numerical_fillna_strategy': 'mean', 'cleaning__threshold': 0.05, 'corr_filter__threshold': 0.7, 'rfe__n_features_to_select': 10}",-1795025140.3652833,-1804083687.8471358,-1972200037.5818675,-2097244899.549146,-1549318295.8346224,-1843574412.235611,185146687.1325866,37,-1686003272.2162216,-1672586562.4905233,-1704243994.8775709,-1623668348.1503901,-1620804194.539654,-1661461274.4548721,33579000.225288205
26.34526147842407,2.9201022778678194,0.30767021179199217,0.016299968048560383,mean,0.05,0.8,0.3,"{'cleaning__numerical_fillna_strategy': 'mean', 'cleaning__threshold': 0.05, 'corr_filter__threshold': 0.8, 'rfe__n_features_to_select': 0.3}",-1011634380.9825553,-1240208454.9738235,-1872751491.3198447,-1218063917.820247,-845299721.9515147,-1237591593.409597,348931468.41510564,19,-679844850.25962,-686880568.35614,-740907513.7127322,-693906829.738502,-759254823.6037393,-712158917.1341467,31814583.890546355
21.33758988380432,1.2007561073077755,0.3329754829406738,0.010000713765859516,mean,0.05,0.8,0.7,"{'cleaning__numerical_fillna_strategy': 'mean', 'cleaning__threshold': 0.05, 'corr_filter__threshold': 0.8, 'rfe__n_features_to_select': 0.7}",-929749450.9006306,-957476038.8352889,-2281562271.0813394,-1088625169.234898,-727945154.1769873,-1197071616.8458288,554405524.9558058,7,-524958502.28824353,-532358652.2845994,-511298536.20715624,-521829597.00383884,-588607167.9780667,-535810491.15238094,27252417.41255941
35.09519362449646,1.372425842277406,0.3026741504669189,0.006053249938095546,mean,0.05,0.8,10.0,"{'cleaning__numerical_fillna_strategy': 'mean', 'cleaning__threshold': 0.05, 'corr_filter__threshold': 0.8, 'rfe__n_features_to_select': 10}",-1795025140.3652833,-1804083687.8471358,-1973171579.5284145,-3847223334.3426747,-1549318295.8346224,-2193764407.583626,837704300.5468171,43,-1686003272.2162216,-1672586562.4905233,-1709956442.1623962,-2906725455.0831337,-1620804194.539654,-1919215185.298386,494616689.54986817
39.13644990921021,2.1877639835430416,0.32946162223815917,0.005514240089648467,mean,0.05,0.9,0.3,"{'cleaning__numerical_fillna_strategy': 'mean', 'cleaning__threshold': 0.05, 'corr_filter__threshold': 0.9, 'rfe__n_features_to_select': 0.3}",-945770016.5331337,-1023228178.9669415,-3609685796.8984365,-1375651102.4979832,-759111793.3895056,-1542689377.6572,1052665423.933031,33,-632385583.0875329,-644119812.2656447,-515071133.75653285,-625468462.8481882,-728927295.7819386,-629194457.5479674,68143384.98719977
25.479496335983278,2.1216266639100536,0.3160094738006592,0.013083751125354216,mean,0.05,0.9,0.7,"{'cleaning__numerical_fillna_strategy': 'mean', 'cleaning__threshold': 0.05, 'corr_filter__threshold': 0.9, 'rfe__n_features_to_select': 0.7}",-854738379.0368122,-910893684.9122986,-3858640180.7095184,-1141272037.808886,-656789718.0304885,-1484466800.099601,1197086065.4942775,25,-478954458.78083915,-493738737.062792,-386566709.1819515,-468423915.29159045,-546343767.8049134,-474805517.6244173,51614366.04975182
41.44166316986084,2.516107576134902,0.20319032669067383,0.2003306577279309,mean,0.05,0.9,10.0,"{'cleaning__numerical_fillna_strategy': 'mean', 'cleaning__threshold': 0.05, 'corr_filter__threshold': 0.9, 'rfe__n_features_to_select': 10}",-3458342863.9826427,-1804083687.8471358,-4150386156.118129,-3848429883.6127744,-1548007765.1630054,-2961850071.344737,1075594714.2839139,53,-2991623920.330366,-1672586562.4905233,-2910253884.322841,-2888945398.906158,-1620780626.3975413,-2416838078.4894857,629974766.0844507
27.882745885848998,2.2444289086447093,0.22806363105773925,0.15595038286688878,mean,0.4,0.7,0.3,"{'cleaning__numerical_fillna_strategy': 'mean', 'cleaning__threshold': 0.4, 'corr_filter__threshold': 0.7, 'rfe__n_features_to_select': 0.3}",-1015119630.3400435,-1244759741.8172336,-1778930208.5443726,-1175700317.7239313,-790489008.2809587,-1200999781.3413079,328520654.1519595,11,-650835422.3160852,-683673686.4476451,-711532136.9121113,-679195517.4859178,-741443928.2325318,-693336138.2788582,30806118.9039992
